65656,65660,0
65660,65664,0
65664,65668,0
65668,65672,0
65672,65676,0
65672,65676,0
65676,65680,0
65664,65668,0
65668,65672,0
65672,65664,1
65672,65664,1
65664,65668,0
65668,65672,0
65672,65664,1
65672,65664,1
65664,65668,0
65668,65672,0
65672,65664,1
65672,65664,1
65664,65668,0
65668,65672,0
65672,65664,1
65672,65664,1
65664,65668,0
65668,65672,0
65672,65664,1
65672,65664,1
65664,65668,0
65668,65672,0
65672,65664,1
65672,65664,1
65664,65668,0
65668,65672,0
65672,65664,1
65672,65664,1
65664,65668,0
65668,65672,0
65672,65664,1
65672,65664,1
65664,65668,0
65668,65672,0
65672,65664,1
65672,65664,1
65664,65668,0
65668,65672,0
65672,65664,1
65672,65664,1
65676,65680,0
65680,65684,0
